id,age,job,marital,education,defaultloan,housingloan,loan
4470,17,student,single,basic.9y,no,yes,no
4473,17,student,single,basic.9y,no,yes,no
4442,17,student,single,unknown,no,yes,no
4478,17,student,single,basic.9y,no,unknown,unknown
4528,17,student,single,unknown,no,no,yes
4437,18,student,single,basic.9y,no,yes,no
4123,18,student,single,high.school,no,no,no
4624,18,student,single,unknown,no,yes,no
4519,18,student,single,unknown,no,yes,no
4352,18,student,single,high.school,no,yes,no
4515,18,student,single,unknown,no,yes,no
4662,18,student,single,basic.4y,no,yes,no
4514,18,student,single,unknown,no,no,no
4234,18,student,single,basic.4y,no,yes,yes
4522,18,student,single,unknown,no,no,no
4787,18,student,single,unknown,no,yes,no
4578,18,student,single,basic.9y,no,yes,no
4625,18,student,single,unknown,no,yes,no
4712,18,student,single,unknown,no,yes,yes
4579,18,student,single,basic.9y,no,yes,no
4483,18,student,single,basic.6y,no,yes,no
4788,18,student,single,basic.4y,no,yes,no
4548,18,student,single,basic.6y,no,no,yes
4351,18,student,single,high.school,no,no,no
4566,18,student,single,high.school,no,no,no
4634,18,student,single,unknown,no,no,no
4711,18,student,single,unknown,no,yes,no
4637,18,student,single,unknown,no,yes,no
4580,18,student,single,basic.9y,no,no,no
4222,18,student,single,basic.4y,no,no,no
4148,18,student,single,high.school,no,yes,yes
4708,18,student,single,unknown,no,yes,no
4518,18,student,single,unknown,no,unknown,unknown
4191,19,student,single,unknown,no,yes,yes
4636,19,student,single,basic.4y,no,yes,no
4569,19,student,single,unknown,no,yes,no
4217,19,student,single,basic.4y,no,no,yes
4204,19,student,single,unknown,no,yes,no
4202,19,student,single,unknown,no,unknown,unknown
4256,19,student,single,high.school,unknown,yes,no
4166,19,student,single,basic.9y,no,yes,no
4189,19,student,single,unknown,no,yes,no
4450,19,student,single,basic.9y,no,no,no
4248,19,student,single,unknown,no,yes,no
4212,19,student,single,unknown,no,yes,no
4716,19,student,single,unknown,no,no,no
4740,19,student,single,basic.6y,no,yes,no
4679,19,student,single,basic.9y,no,yes,no
4188,19,student,single,unknown,no,yes,no
4214,19,student,single,unknown,no,yes,yes
4253,19,student,single,high.school,unknown,no,yes
4722,19,student,single,high.school,no,unknown,unknown
4451,19,student,single,basic.9y,no,yes,no
4567,19,student,single,unknown,no,no,no
4164,19,student,single,basic.9y,no,no,no
4581,19,student,single,high.school,no,yes,no
4350,19,student,single,basic.9y,no,yes,no
4513,19,student,single,basic.9y,no,yes,no
4737,19,student,single,basic.4y,no,yes,no
4156,19,student,single,basic.6y,no,no,no
4205,19,student,single,unknown,no,yes,no
4197,19,student,single,unknown,no,yes,yes
4187,19,student,single,unknown,no,yes,no
4789,19,student,single,basic.9y,no,yes,no
4198,19,student,single,unknown,no,yes,no
4151,19,student,single,basic.9y,no,yes,no
4627,19,student,single,basic.9y,no,yes,no
4208,19,student,single,unknown,no,yes,no
4742,19,student,single,basic.6y,no,yes,yes
4678,19,student,single,basic.9y,no,no,yes
4178,19,student,single,basic.9y,no,no,no
4452,19,student,single,basic.9y,no,no,no
4100,19,student,single,basic.9y,unknown,yes,no
4190,19,student,single,unknown,no,no,no
4591,19,student,single,basic.6y,no,yes,no
4610,20,student,single,basic.4y,no,yes,yes
4226,20,student,single,basic.4y,no,yes,no
4558,20,student,single,high.school,no,no,no
4556,20,student,single,high.school,no,yes,no
8682,20,technician,single,unknown,no,no,no
4611,20,student,single,basic.4y,no,yes,yes
4557,20,student,single,high.school,no,no,no
10728,20,blue-collar,single,basic.9y,unknown,yes,no
4623,20,student,single,unknown,no,yes,yes
10992,20,entrepreneur,single,high.school,no,no,no
4465,20,student,single,high.school,no,no,no
4764,20,student,single,unknown,no,yes,yes
4620,20,student,single,unknown,no,no,no
10474,20,blue-collar,single,high.school,no,yes,no
4647,20,student,single,unknown,no,no,no
4459,20,student,single,basic.4y,no,yes,no
4648,20,student,single,unknown,no,no,no
4766,20,student,single,unknown,no,no,no
5947,20,services,single,unknown,no,no,no
4618,20,student,single,unknown,no,yes,no
10969,20,blue-collar,single,basic.4y,no,no,no
862,20,admin.,single,high.school,no,no,no
4430,20,student,single,high.school,no,yes,no
4485,20,student,single,high.school,no,yes,no
5367,20,services,single,high.school,no,no,no
4232,20,student,single,high.school,no,yes,no
4172,20,student,single,high.school,no,yes,no
4213,20,student,single,unknown,no,yes,yes
4225,20,student,single,high.school,no,yes,no
11012,20,entrepreneur,single,high.school,no,no,yes
4179,20,student,single,high.school,no,yes,no
4162,20,student,single,unknown,no,yes,no
4479,20,student,single,high.school,no,no,no
4158,20,student,single,basic.9y,no,yes,no
5175,20,services,single,high.school,no,yes,no
4614,20,student,single,high.school,no,no,no
4476,20,student,single,high.school,no,no,no
8554,20,technician,single,professional.course,unknown,no,no
10473,20,blue-collar,single,high.school,no,yes,no
4619,20,student,single,unknown,no,yes,no
4365,20,student,single,high.school,no,yes,no
4762,20,student,single,unknown,no,no,no
4095,20,student,single,university.degree,no,yes,no
8284,20,technician,single,university.degree,no,no,no
4534,20,student,single,high.school,no,no,yes
4428,20,student,single,high.school,no,no,no
4460,20,student,single,basic.4y,no,yes,no
10817,20,blue-collar,single,basic.9y,unknown,yes,no
10993,20,entrepreneur,single,high.school,no,no,no
4387,20,student,single,high.school,no,yes,yes
4429,20,student,single,high.school,no,no,no
4159,20,student,single,basic.9y,no,yes,no
4684,20,student,single,basic.9y,no,yes,no
10776,20,blue-collar,single,high.school,no,yes,no
10991,20,entrepreneur,single,high.school,no,no,no
4103,20,student,single,high.school,no,yes,yes
4443,20,student,single,high.school,no,no,yes
4635,20,student,single,unknown,no,yes,no
